d,n,omega,seed,row_index,eta_col_sum_excl,delta_E1,abs_r_l,drop_E1
4,80,1.0,3,60,92.47670253940211,-2.0490167381798017,0.709203325947978,2.0490167381798017
4,80,1.0,3,19,72.7887134248713,-1.1092823075337321,0.21331464248902066,1.1092823075337321
4,80,1.0,3,76,83.0027619610295,1.0033685395500669,0.8508458212344354,-1.0033685395500669
4,80,1.0,3,74,80.9015990342813,-1.0670236023060369,0.6355981946814935,1.0670236023060369
4,80,1.0,3,31,77.44047576817162,1.0128053247130993,0.9745626012256368,-1.0128053247130993
4,80,1.0,3,1,57.655650122853416,-0.5259763101303889,0.14345446378074733,0.5259763101303889
4,80,1.0,3,53,72.68150518014743,3.422013873629126,1.1841082621307555,-3.422013873629126
4,80,1.0,3,9,75.19688664646212,-0.028424705726422417,0.20367495392067836,0.028424705726422417
4,80,1.0,3,32,87.83450534198033,-0.4949737015916682,0.125737062472278,0.4949737015916682
4,80,1.0,3,59,86.04411756532839,0.3530240204574113,0.7558510241273226,-0.3530240204574113
4,80,1.0,4,47,70.5038341340825,1.1764137613771055,1.1862211982091253,-1.1764137613771055
4,80,1.0,4,42,92.9409316376859,-1.7581964489740187,1.5236481364828554,1.7581964489740187
4,80,1.0,4,19,72.8300085035553,-0.460488484296107,1.0241739181481748,0.460488484296107
4,80,1.0,4,33,82.53054053949592,-0.7119956830853766,0.18881311892855557,0.7119956830853766
4,80,1.0,4,78,92.69225325309328,-1.6486956499587961,0.6410999683426848,1.6486956499587961
4,80,1.0,4,63,70.68496948027972,3.0636939740515317,0.9102298106195672,-3.0636939740515317
4,80,1.0,4,63,70.68496948027972,3.0636939740515317,0.9102298106195672,-3.0636939740515317
4,80,1.0,4,68,76.25905388248076,-0.1553384983242836,0.04904675382828083,0.1553384983242836
4,80,1.0,4,35,73.53830352590084,-0.8703926785859366,0.22191395162752903,0.8703926785859366
4,80,1.0,4,57,63.650786951163525,-1.6906273295299457,1.627647394635293,1.6906273295299457
4,80,1.0,4,2,62.723691324714174,0.19063381201232232,0.5352706370065232,-0.19063381201232232
4,80,1.0,4,20,68.05383151026496,-1.3158552310623293,1.8545077359820241,1.3158552310623293
4,80,1.0,4,3,67.28251054782343,-0.8554325761810802,0.9679623196059737,0.8554325761810802
4,80,1.0,4,65,94.19240159282302,-0.14598003484456967,0.030727223528778103,0.14598003484456967
4,80,1.0,4,45,66.36237093134957,3.813458161399552,1.3032609546277585,-3.813458161399552
4,80,1.0,4,65,94.19240159282302,-0.14598003484456967,0.030727223528778103,0.14598003484456967
4,80,1.0,4,41,84.26425031998363,-3.467139142880889,0.4677580443921525,3.467139142880889
4,80,1.0,4,64,71.9480007035898,5.098668690639045,0.7758312517436372,-5.098668690639045
4,80,1.0,4,10,71.51984056315085,-0.7756506303213371,0.27854807824696737,0.7756506303213371
4,80,1.0,4,59,80.72352246970102,-0.01843831936901097,0.003507806784104339,0.01843831936901097
4,80,1.0,5,71,83.601449074626,0.033001263610245246,0.031079600836412258,-0.033001263610245246
4,80,1.0,5,28,70.1023403647872,-0.1870240380642798,0.32182227658787,0.1870240380642798
4,80,1.0,5,28,70.1023403647872,-0.1870240380642798,0.32182227658787,0.1870240380642798
4,80,1.0,5,13,72.5560419531156,-1.4302471900444402,0.5832045897920484,1.4302471900444402
4,80,1.0,5,28,70.1023403647872,-0.1870240380642798,0.32182227658787,0.1870240380642798
4,80,1.0,5,42,60.97659714525475,2.3792555821655768,1.412922603955052,-2.3792555821655768
4,80,1.0,5,76,79.6839833808143,-0.8873448156979578,0.5436480958766343,0.8873448156979578
4,80,1.0,5,74,89.23286552154904,0.1970175753173109,0.17183000949826432,-0.1970175753173109
4,80,1.0,5,33,74.04442833983487,-0.9067357198376982,0.3009250687770182,0.9067357198376982
4,80,1.0,5,28,70.1023403647872,-0.1870240380642798,0.32182227658787,0.1870240380642798
4,80,1.0,5,76,79.6839833808143,-0.8873448156979578,0.5436480958766343,0.8873448156979578
4,80,1.0,5,73,71.9145942379309,-0.16088826115523602,0.47293930784193483,0.16088826115523602
4,80,1.0,5,72,67.37160234087514,-1.0017985231243571,0.42549599136614047,1.0017985231243571
4,80,1.0,5,35,66.25847350340686,2.6961440344736047,0.9584976705933976,-2.6961440344736047
4,80,1.0,5,12,83.6136450466641,-0.8165989341637498,0.17423710356125488,0.8165989341637498
4,80,1.0,5,77,67.76458355673188,-2.4920381360643304,1.3847931132911642,2.4920381360643304
4,80,1.0,5,16,65.41516575380972,-0.06954270872182633,0.02443206603149095,0.06954270872182633
4,80,1.0,5,61,65.73802959534619,1.5152464509080943,1.6621750204177486,-1.5152464509080943
4,80,1.0,5,62,93.55440781337376,0.23946251916834882,0.6953632373037932,-0.23946251916834882
4,80,1.0,5,15,75.64316901198266,2.1381581003387566,1.6090926048335734,-2.1381581003387566
8,96,1.0,0,80,102.71639475705042,1.1992054331102793,0.4136848316305666,-1.1992054331102793
8,96,1.0,0,81,84.98354034743932,-1.726298288912048,0.5704426664635593,1.726298288912048
8,96,1.0,0,87,97.20429769333715,-0.5327781844186887,0.6826432991187232,0.5327781844186887
8,96,1.0,0,19,79.4079938159567,-2.4557118259231316,0.671707147562377,2.4557118259231316
8,96,1.0,0,81,84.98354034743932,-1.726298288912048,0.5704426664635593,1.726298288912048
8,96,1.0,0,11,86.41030267397421,1.5898203977982774,1.6238070171930064,-1.5898203977982774
8,96,1.0,0,41,83.87049507264608,-2.6411667212062966,1.0101223078359753,2.6411667212062966
8,96,1.0,0,27,72.34381446533479,-0.74499178545463,0.9008159090135348,0.74499178545463
8,96,1.0,0,66,91.42608733594787,-0.7080523665470508,0.4235921342162454,0.7080523665470508
8,96,1.0,0,26,115.58233322775834,-1.366046671034411,0.47266712395419663,1.366046671034411
8,96,1.0,0,11,86.41030267397421,1.5898203977982774,1.6238070171930064,-1.5898203977982774
8,96,1.0,0,38,91.39490124065756,0.7574292346573515,1.2744591967142926,-0.7574292346573515
8,96,1.0,0,2,85.93062285459061,0.3707637305302143,0.3904231008062089,-0.3707637305302143
8,96,1.0,0,62,95.54334196116983,-0.16804705039008638,0.29488646491543613,0.16804705039008638
8,96,1.0,0,49,88.26745619264418,-0.9979490702227594,0.32278104521110196,0.9979490702227594
8,96,1.0,0,22,97.21957658320059,0.43899860221281983,0.9340508837815114,-0.43899860221281983
8,96,1.0,0,55,91.75449839515025,-2.1058051777096622,1.1044155256575054,2.1058051777096622
8,96,1.0,0,22,97.21957658320059,0.43899860221281983,0.9340508837815114,-0.43899860221281983
8,96,1.0,0,58,96.89561594335389,-0.03847418347018561,0.03140679139816038,0.03847418347018561
8,96,1.0,0,33,99.68031991691066,-0.08547306658024922,0.024716984136698983,0.08547306658024922
8,96,1.0,1,2,86.88700441325517,-2.5517699280074595,1.246751470182129,2.5517699280074595
8,96,1.0,1,88,96.50942463789485,-0.5055841628332445,0.1938779418577039,0.5055841628332445
8,96,1.0,1,22,78.61801788734238,-4.198434273542574,1.0656284896439856,4.198434273542574
8,96,1.0,1,1,97.1618415691895,-1.3222897925068509,0.5285350140958203,1.3222897925068509
8,96,1.0,1,61,92.72904128741902,0.726579594955254,0.697912719366383,-0.726579594955254
8,96,1.0,1,68,101.20525251696321,0.5000012745539237,0.14031885621111106,-0.5000012745539237
8,96,1.0,1,51,96.6964176356655,-0.35658837905911867,0.09696024480033572,0.35658837905911867
8,96,1.0,1,63,94.544038716515,-1.5190550942832317,0.7059330300400055,1.5190550942832317
8,96,1.0,1,34,106.67688226293822,0.03192019342733943,0.3899246631580662,-0.03192019342733943
8,96,1.0,1,22,78.61801788734238,-4.198434273542574,1.0656284896439856,4.198434273542574
8,96,1.0,1,66,74.73548628250383,-2.217884028936254,0.573416812760354,2.217884028936254
8,96,1.0,1,89,81.94378413902916,0.7974787930242684,0.3065069308811399,-0.7974787930242684
8,96,1.0,1,69,92.41172489754915,-1.2761661675622094,1.1799889574798754,1.2761661675622094
8,96,1.0,1,57,118.13519140373454,3.405772522469917,1.1142482602650319,-3.405772522469917
8,96,1.0,1,47,89.69416512736773,-3.1579271905234947,0.8640355073596726,3.1579271905234947
8,96,1.0,1,70,86.42730702758419,-0.9361062236999516,0.4045697418554166,0.9361062236999516
8,96,1.0,1,25,92.46111383463955,-0.16422441698989587,0.03903832442203825,0.16422441698989587
8,96,1.0,1,92,90.86927151744992,-6.3458747940753355,2.224061014713807,6.3458747940753355
8,96,1.0,1,36,78.92653823996913,0.4312915451131545,0.3004970348100833,-0.4312915451131545
8,96,1.0,1,4,75.84855833750859,-2.0883845812647195,1.5178067949064498,2.0883845812647195
8,96,1.0,2,4,96.98838037059423,0.4863115541745344,0.2371838427859423,-0.4863115541745344
8,96,1.0,2,70,81.9461048280117,-2.5291594847831647,0.8895058803531266,2.5291594847831647
8,96,1.0,2,50,109.07588180737085,-1.204126295216824,0.37776545679075046,1.204126295216824
8,96,1.0,2,27,87.29579625431914,0.005992007098839736,0.010970705856350182,-0.005992007098839736
8,96,1.0,2,68,94.33214949086299,-1.0834228774118628,0.4972643410440547,1.0834228774118628
8,96,1.0,2,69,75.37138642834489,0.9840154945494959,1.0417908629280763,-0.9840154945494959
8,96,1.0,2,74,97.19504690620536,0.42682482146605594,0.3676487729076565,-0.42682482146605594
8,96,1.0,2,36,110.39414434186077,4.434956358279322,1.2271038457577783,-4.434956358279322
8,96,1.0,2,93,88.85487766859146,0.03178882189931187,0.47289111030001374,-0.03178882189931187
