d,n,omega,seed,row_index,predicted_step_size,observed_step_size,abs_r_l,beta_l,err_step
4,80,1.0,2,46,0.07886396260668117,0.07886396260668116,0.4177774656909694,28.062918328920038,1.3877787807814457e-17
4,80,1.0,2,71,0.18066198927492766,0.18066198927492766,0.9458301533227895,27.408971213389258,0.0
4,80,1.0,2,13,0.04195265088415403,0.04195265088415406,0.2332237276662541,30.904850633446266,2.7755575615628914e-17
4,80,1.0,2,32,0.06237065288676851,0.062370652886768525,0.32362668832422425,26.9232868171486,1.3877787807814457e-17
4,80,1.0,2,57,0.1877496051833556,0.18774960518335562,0.9934334322360605,27.99751447287975,2.7755575615628914e-17
4,80,1.0,2,16,0.27922120017467067,0.27922120017467067,1.4040227409127009,25.284333220920853,0.0
4,80,1.0,2,43,0.18730635756291192,0.18730635756291192,1.021028581253694,29.714659745807683,0.0
4,80,1.0,2,32,0.06237065288676851,0.062370652886768525,0.32362668832422425,26.9232868171486,1.3877787807814457e-17
4,80,1.0,2,5,0.38957180923404694,0.38957180923404694,2.1077294888122036,29.272155180435817,0.0
4,80,1.0,2,71,0.18066198927492766,0.18066198927492766,0.9458301533227895,27.408971213389258,0.0
4,80,1.0,2,23,0.0833882176779416,0.08338821767794163,0.48190357870044,33.397266343128734,2.7755575615628914e-17
4,80,1.0,2,65,0.20069374944407348,0.2006937494440735,1.4424753775833272,51.65937218970206,2.7755575615628914e-17
4,80,1.0,2,18,0.1743265379150912,0.17432653791509123,1.0081845701675167,33.446685183947054,2.7755575615628914e-17
4,80,1.0,2,75,0.21695230068773527,0.2169523006877353,1.2786670699814653,34.73653072193556,2.7755575615628914e-17
4,80,1.0,2,75,0.21695230068773527,0.2169523006877353,1.2786670699814653,34.73653072193556,2.7755575615628914e-17
4,80,1.0,2,17,0.1727552980331301,0.17275529803313014,0.9529832512515743,30.430408727401222,2.7755575615628914e-17
4,80,1.0,2,8,0.18056569921611007,0.18056569921611007,1.1425382487771403,40.037872090944056,0.0
4,80,1.0,2,45,0.24463825586766474,0.24463825586766474,1.398043502540747,32.65822879587667,0.0
4,80,1.0,2,29,0.17787182254273995,0.1778718225427399,1.0108674354030045,32.29788637228962,5.551115123125783e-17
4,80,1.0,3,64,0.10510063470201274,0.10510063470201275,0.5601135686051115,28.401515167382158,1.3877787807814457e-17
4,80,1.0,3,16,0.05048047254757231,0.05048047254757229,0.2839076540288703,31.630596261579463,2.0816681711721685e-17
4,80,1.0,3,14,0.25950441059113977,0.2595044105911397,1.3080440877852841,25.40711054325315,5.551115123125783e-17
4,80,1.0,3,23,0.04520717695706864,0.04520717695706868,0.2940177604937224,42.29921964503071,4.163336342344337e-17
4,80,1.0,3,22,0.030002575208922796,0.030002575208922768,0.14450570726200862,23.198127639925392,2.7755575615628914e-17
4,80,1.0,3,72,0.043012395230388245,0.04301239523038825,0.20914977487839348,23.64435914166206,6.938893903907228e-18
4,80,1.0,3,59,0.13115451458620425,0.13115451458620428,0.6543870877304503,24.894473963689624,2.7755575615628914e-17
4,80,1.0,3,23,0.04520717695706864,0.04520717695706868,0.2940177604937224,42.29921964503071,4.163336342344337e-17
4,80,1.0,3,49,0.20990775359955696,0.2099077535995569,0.949490120738661,20.460862595440567,5.551115123125783e-17
4,80,1.0,3,27,0.18492105525872932,0.18492105525872923,1.1385274313391855,37.90655103367344,8.326672684688674e-17
4,80,1.0,3,6,0.11092302612538846,0.11092302612538844,0.6072076539437203,29.966157386136306,1.3877787807814457e-17
4,80,1.0,3,53,0.17640257822271688,0.17640257822271685,1.1950400026955248,45.8939068205461,2.7755575615628914e-17
4,80,1.0,3,54,0.12792789748238334,0.12792789748238334,0.7536922200415774,34.710233891891136,0.0
4,80,1.0,3,8,0.14277419075718795,0.14277419075718792,0.7472851927450961,27.395128336588126,2.7755575615628914e-17
4,80,1.0,3,45,0.12380037165861411,0.12380037165861409,0.6379479250720983,26.553792762646985,2.7755575615628914e-17
4,80,1.0,3,48,0.11938230898979656,0.11938230898979656,0.7261082503057046,36.99327611452684,0.0
4,80,1.0,3,34,0.12172230176985777,0.12172230176985772,0.6337302165348428,27.106192447390647,4.163336342344337e-17
4,80,1.0,3,46,0.13903408408886697,0.13903408408886692,0.7772075320566543,31.248663046909645,5.551115123125783e-17
4,80,1.0,3,16,0.05048047254757231,0.05048047254757229,0.2839076540288703,31.630596261579463,2.0816681711721685e-17
